measure,location_join,ARCGIS,Year,DALYs Rates,upper,lower,SD
DALYS Rates,Afghanistan,Afghanistan,1990,27.93,40.85,15.47,6.47
DALYS Rates,Afghanistan,Afghanistan,1991,27.62,40.24,15.26,6.37
DALYS Rates,Afghanistan,Afghanistan,1992,27.38,40.25,15.09,6.42
DALYS Rates,Afghanistan,Afghanistan,1993,27.45,40.43,15.17,6.44
DALYS Rates,Afghanistan,Afghanistan,1994,27.59,41.31,15.11,6.68
DALYS Rates,Afghanistan,Afghanistan,1995,27.54,41.68,15.19,6.76
DALYS Rates,Afghanistan,Afghanistan,1996,27.5,41.67,15.09,6.78
DALYS Rates,Afghanistan,Afghanistan,1997,27.46,41.85,15.19,6.8
DALYS Rates,Afghanistan,Afghanistan,1998,27.37,41.56,15.08,6.76
DALYS Rates,Afghanistan,Afghanistan,1999,27.36,41.59,15,6.78
DALYS Rates,Afghanistan,Afghanistan,2000,27.19,40.98,14.69,6.71
DALYS Rates,Afghanistan,Afghanistan,2001,26.81,40.41,14.53,6.6
DALYS Rates,Afghanistan,Afghanistan,2002,25.59,38.8,14.11,6.3
DALYS Rates,Afghanistan,Afghanistan,2003,25.04,37.97,13.96,6.13
DALYS Rates,Afghanistan,Afghanistan,2004,24.62,37.46,13.76,6.05
DALYS Rates,Afghanistan,Afghanistan,2005,23.98,36.1,13.49,5.77
DALYS Rates,Afghanistan,Afghanistan,2006,23.4,35.35,13.32,5.62
DALYS Rates,Afghanistan,Afghanistan,2007,22.79,34.21,13.08,5.39
DALYS Rates,Afghanistan,Afghanistan,2008,22.28,33.28,12.9,5.2
DALYS Rates,Afghanistan,Afghanistan,2009,21.73,32.51,12.77,5.04
DALYS Rates,Afghanistan,Afghanistan,2010,21.24,31.33,12.56,4.79
DALYS Rates,Afghanistan,Afghanistan,2011,20.75,30.29,12.26,4.6
DALYS Rates,Afghanistan,Afghanistan,2012,20.35,29.45,12.2,4.4
DALYS Rates,Afghanistan,Afghanistan,2013,19.95,28.78,12.03,4.27
DALYS Rates,Afghanistan,Afghanistan,2014,19.65,28.18,11.99,4.13
DALYS Rates,Afghanistan,Afghanistan,2015,19.39,28.16,11.76,4.18
DALYS Rates,Afghanistan,Afghanistan,2016,19.16,27.38,11.65,4.01
DALYS Rates,Afghanistan,Afghanistan,2017,18.99,27.33,11.54,4.03
DALYS Rates,Afghanistan,Afghanistan,2018,18.82,27.26,11.74,3.96
DALYS Rates,Afghanistan,Afghanistan,2019,18.64,27.14,11.68,3.94
