measure,sex,age,risk,year,val,upper,lower
Deaths,Male,15 to 19,Alcohol use,1992,0.025754982,0.040091192,0.01501052
Deaths,Male,15 to 19,Occupational exposure to formaldehyde,1992,0.001069743,0.002906734,2.25E-05
Deaths,Female,15 to 19,Alcohol use,1992,0.002656384,0.004329601,0.001337723
Deaths,Female,15 to 19,Occupational exposure to formaldehyde,1992,0.000533668,0.00136927,1.68E-05
Deaths,Both,15 to 19,Alcohol use,1992,0.014465444,0.022163176,0.008595432
Deaths,Both,15 to 19,Occupational exposure to formaldehyde,1992,0.000807734,0.001870891,0.00019223
Deaths,Male,20 to 24,Alcohol use,1992,0.091599276,0.128370904,0.061680585
Deaths,Male,20 to 24,Occupational exposure to formaldehyde,1992,0.00290557,0.007691652,0.000124649
Deaths,Female,20 to 24,Alcohol use,1992,0.007594281,0.013047448,0.003949891
Deaths,Female,20 to 24,Occupational exposure to formaldehyde,1992,0.00144289,0.003604388,4.43E-05
Deaths,Both,20 to 24,Alcohol use,1992,0.050525979,0.070289835,0.034072544
Deaths,Both,20 to 24,Occupational exposure to formaldehyde,1992,0.002190409,0.00485908,0.000539347
Deaths,Male,25 to 29,Alcohol use,1992,0.131909996,0.172797357,0.093890491
Deaths,Male,25 to 29,Occupational exposure to formaldehyde,1992,0.010493123,0.025327477,0.000227958
Deaths,Female,25 to 29,Alcohol use,1992,0.012176759,0.019509592,0.006462439
Deaths,Female,25 to 29,Occupational exposure to formaldehyde,1992,0.007198814,0.018549433,0.000274483
Deaths,Both,25 to 29,Alcohol use,1992,0.073206893,0.095866622,0.05143295
Deaths,Both,25 to 29,Occupational exposure to formaldehyde,1992,0.008877981,0.018111482,0.002023683
Deaths,Male,30 to 34,Tobacco,1992,0.077051647,0.124757868,0.029966944
Deaths,Male,30 to 34,Alcohol use,1992,0.294843641,0.378489974,0.212050731
Deaths,Male,30 to 34,Occupational exposure to formaldehyde,1992,0.016374702,0.042547112,-8.85E-05
Deaths,Female,30 to 34,Tobacco,1992,0.002348775,0.00446095,0.000810743
Deaths,Female,30 to 34,Alcohol use,1992,0.024703028,0.038923781,0.013372862
Deaths,Female,30 to 34,Occupational exposure to formaldehyde,1992,0.008467722,0.021430431,0.000571865
Deaths,Both,30 to 34,Tobacco,1992,0.040699956,0.065932603,0.01586654
Deaths,Both,30 to 34,Alcohol use,1992,0.163388614,0.210144082,0.116532871
Deaths,Both,30 to 34,Occupational exposure to formaldehyde,1992,0.012527031,0.027247263,0.002882483
Deaths,Male,35 to 39,Tobacco,1992,0.296944784,0.45746899,0.138712102
Deaths,Male,35 to 39,Alcohol use,1992,0.596778466,0.762081934,0.437791749
Deaths,Male,35 to 39,Occupational exposure to formaldehyde,1992,0.032420995,0.080541116,0.001038708
Deaths,Female,35 to 39,Tobacco,1992,0.008869884,0.016263976,0.003269401
Deaths,Female,35 to 39,Alcohol use,1992,0.060818294,0.09746699,0.031829053
Deaths,Female,35 to 39,Occupational exposure to formaldehyde,1992,0.017954414,0.048483165,0.000984876
Deaths,Both,35 to 39,Tobacco,1992,0.157482665,0.242163505,0.073454128
Deaths,Both,35 to 39,Alcohol use,1992,0.337310733,0.435236783,0.246685383
Deaths,Both,35 to 39,Occupational exposure to formaldehyde,1992,0.025417469,0.054744259,0.006189927
Deaths,Male,40 to 44,Tobacco,1992,0.816789558,1.174470126,0.446547154
Deaths,Male,40 to 44,Alcohol use,1992,1.232840458,1.598418089,0.927629249
Deaths,Male,40 to 44,Occupational exposure to formaldehyde,1992,0.050531407,0.122624619,0.003264495
Deaths,Female,40 to 44,Tobacco,1992,0.024936379,0.046790419,0.009891274
